keys,zh,en,cht,yue,wyw,jp,kor,spa,fra,th,ara,ru,pt,de,it,el,nl,pl,bul,est,dan,fin,cs,rom,slo,swe,hu,vie
FAST_TOWER_DESC,射击速度极快的防御塔，适合对付大量弱小敌人,Very fast firing tower suitable for dealing with many weak enemies,非常快的發射塔，適合對付許多弱小的敵人,好快发射塔，啱对付好多弱质啲嘅敌人,甚疾发之，宜割小敌。,多くの弱い敵に対処するために適した非常に速い発射塔,많은 약한 적들을 다루는 데 적합한 매우 빠른 사격 타워,Torre de disparo muy rápida adecuada para hacer frente a muchos enemigos débiles,Tour de tir très rapide adaptée pour faire face à de nombreux ennemis faibles,หอคอยยิงที่รวดเร็วมากเหมาะสำหรับการจัดการกับศัตรูที่อ่อนแอจำนวนมาก,برج إطلاق النار سريع جدا مناسبة للتعامل مع العديد من الأعداء الضعيفين,"Очень быстрая стрелковая башня, подходящая для борьбы со многими слабыми врагами",Torre de fogo muito rápida adequada para lidar com muitos inimigos fracos,Sehr schneller Schießturm geeignet für den Umgang mit vielen schwachen Feinden,Torre di fuoco molto veloce adatta per affrontare molti nemici deboli,Πολύ γρήγορος πύργος πυροβολισμού κατάλληλος για την αντιμετώπιση πολλών αδύναμων εχθρών,Zeer snelle vuurtoren geschikt voor het omgaan met veel zwakke vijanden,Bardzo szybka wieża strzelnicza odpowiednia do radzenia sobie z wieloma słabymi wrogami,"Много бърза кула за стрелба, подходяща за справяне с много слаби врагове",Väga kiire tulistamine torn sobib palju nõrgaid vaenlasi,Meget hurtigt skydetårn egnet til at håndtere mange svage fjender,Erittäin nopea ampumistorni sopii käsittelemään monia heikkoja vihollisia,Velmi rychlá střílečka vhodná pro řešení mnoha slabých nepřátel,Turn de tir foarte rapid potrivit pentru a face față multor dușmani slabi,Zelo hiter strelni stolp primeren za obravnavanje s šibkimi sovražniki,Mycket snabbt skjutningstorn lämpligt för att hantera många svaga fiender,Nagyon gyors lőtorony alkalmas sok gyenge ellenség kezelésére,Tháp bắn rất nhanh phù hợp để đối phó với nhiều kẻ thù yếu
FAST_TOWER_SPECIAL,高射速低伤害,High fire rate low damage,高射速低傷害,高射速低伤害,高射远低伤远。,高い火災率低い損傷,높은 화재 속도 낮은 손상,Alta tasa de incendio bajo daño,Taux d'incendie élevé faible dégâts,อัตราไฟสูงความเสียหายต่ำ,ارتفاع معدل الحريق الضرر المنخفض,Высокая скорость пожара низкий урон,Alta taxa de incêndio baixo dano,Hohe Brandrate geringe Schäden,Alta frequenza di incendio basso danno,Υψηλό ποσοστό πυρκαγιάς χαμηλή ζημία,Hoge brandsnelheid lage schade,Wysoka częstotliwość pożaru niskie uszkodzenia,Висока скорост на пожар ниски щети,Kõrge tulekahju madal kahju,Høj brandhastighed lav skade,Korkea palon nopeus alhainen vahinko,Vysoká rychlost požáru nízké poškození,Rata ridicată a incendiilor daune scăzute,Visoka stopnja požara nizka škoda,Hög brandhastighet låg skada,Magas tűz arány alacsony károsodás,Tỷ lệ cháy cao thiệt hại thấp
FROST_TOWER,冰霜塔,Frost Tower,冰霜塔擊,冰霜塔击,冰霜塔击塔。,フロストタワー,Frost Tower는,Torre de Helado,Tour du gel,หอคอยน้ำแข็ง,برج الصقيع,Морозная башня,Torre da Gelada,Frostturm,Torre del gelo,Πύργος του πάγου,Vrijstoren,wieża Frost,Мразовата кула,Külmtorn,Frosttårnet,Frost Tower -torni,Mrazová věž,Turnul de îngheţ,Ledeni stolp,Frost tornet,Frost Torony,Tháp Frost
FROST_TOWER_DESC,发射冰霜子弹能够减缓敌人移动速度,Fires frost bullets that slow down enemy movement,發射霜凍子彈，減緩敵人的行動,发射霜冻子弹，减缓敌人行动,霜发子奏，减缓敌行。,敵の動きを遅らせる敵敵敵の動きを遅らせる敵敵敵の動きを遅らせる敵敵敵敵敵の動きを遅らめる敵敵敵,적의 움직임을 느리게 하는 얼음 총알을 발사합니다.,Dispara balas de helada que ralentizan el movimiento del enemigo,Tire des balles de gel qui ralentissent le mouvement ennemi,ยิงกระสุนน้ำแข็งที่ช้าลงการเคลื่อนไหวของศัตรู,يطلق الرصاص الصقيع الذي يبطئ حركة العدو,"Выстреляет пули, замедляющие движение противника",Atira balas de gelo que desaceleram o movimento inimigo,"Feuer Frostkugeln, die die Bewegung des Feindes verlangsamen",Spara proiettili di gelo che rallentano il movimento nemico,Πυρκαγιές σφαίρες πάγου που επιβραδύνουν την κίνηση του εχθρού,Vuurt ijskogels die de beweging van de vijand vertragen,"Ogień kule mrozowe, które spowolniają ruch wroga","Изпалва студени куршуми, които забавят движението на врага","Külmkuulid, mis aeglustavad vaenlase liikumist","Brænder frost kugler, der bremser fjendens bevægelse","Palot jäädäluodit, jotka hidastavat vihollisen liikkumista","Vypálí mrazové kulky, které zpomalují nepřátelský pohyb",Focuri gloanțe de îngheț care încetinesc mișcarea inamicului,"Izstreli krogle iz zmrzali, ki upočasnjujejo sovražnikovo gibanje",Bränder frostkulor som saktar ner fiendens rörelse,"Tűz fagy golyók, amelyek lelassítják az ellenség mozgását",Phóng đạn băng giá làm chậm chuyển động của kẻ thù
FROST_TOWER_SPECIAL,减速效果，冰冻敌人,Slow effect freeze enemies,緩慢效果凍結敵人,嚤佗效果冻结敌人,缓则实合也。,遅い効果は敵を凍結します,느린 효과로 적을 동결합니다.,Efecto lento congelar enemigos,Effet lent pour geler les ennemis,ผลช้าแช่แข็งศัตรู,تأثير بطيء تجميد الأعداء,Медленный эффект замораживания врагов,Efeito lento congelar inimigos,Langsamer Effekt Gefrieren Feinde,Effetto lento congelare nemici,Αργή επίδραση παγώσει εχθρούς,Langzaam effect bevriezen vijanden,Powolny efekt zamrożenia wrogów,Бавен ефект замразяване врагове,Aegline mõju külmutada vaenlased,Langsom effekt fryse fjender,Hitas vaikutus jäädyttää vihollisia,Pomalý efekt zmrazit nepřátele,Efect lent înghețați dușmani,Počasni učinek zamrzni sovražnike,Långsam effekt frysa fiender,Lass hatás fagyasztja az ellenségeket,Hiệu ứng chậm đóng băng kẻ thù
AREA_TOWER,群攻塔,Area Tower,區域塔,区域塔,方塔曰：,エリアタワー,지역 타워,Torre Área,Tour de la zone,อาคารพื้นที่,برج المنطقة,Башня зоны,Torre da Área,Bereich Tower,Area Torre,Πύργος περιοχής,Gebied toren,Wieża Area,Area кула,Piirkonnatorn,Områdetårn,Alueen torni,Věž Area,Turnul zonei,Področni stolp,Område Tower,Területi torony,Tháp khu vực
AREA_TOWER_DESC,能够同时攻击多个敌人的攻击塔,Attack tower that can attack multiple enemies simultaneously,可以同時攻擊多個敵人的攻擊塔,可以同时攻击多个敌人嘅攻击塔,可并攻多敌攻塔。,複数の敵を同時に攻撃できる攻撃塔,동시에 여러 적을 공격할 수 있는 공격 타워,Torre de ataque que puede atacar a varios enemigos simultáneamente,Tour d'attaque qui peut attaquer plusieurs ennemis simultanément,โจมตีหอคอยที่สามารถโจมตีศัตรูหลายคนพร้อมกัน,برج الهجوم الذي يمكن أن يهاجم عدة أعداء في وقت واحد,"Башня, которая может атаковать нескольких врагов одновременно",Torre de ataque que pode atacar vários inimigos simultaneamente,"Angriffsturm, der mehrere Feinde gleichzeitig angreifen kann",Torre di attacco che può attaccare più nemici contemporaneamente,Πύργος επίθεσης που μπορεί να επιτεθεί σε πολλούς εχθρούς ταυτόχρονα,Aanval toren die meerdere vijanden tegelijkertijd kan aanvallen,"Atakuj wieżę, która może zaatakować wielu wrogów jednocześnie","Атака кула, която може да атакува няколко врага едновременно","Rünnaku torn, mis võib rünnata mitu vaenlast samaaegselt","Angreb tårn, der kan angribe flere fjender samtidigt","Hyökkää torni, joka voi hyökkää useita vihollisia samanaikaisesti","Útok věže, která může zaútočit na více nepřátel současně",Turnul de atac care poate ataca mai mulți dușmani simultan,"Napad stolp, ki lahko napade več sovražnikov hkrati",Attacktorn som kan attackera flera fiender samtidigt,"Támadási torony, amely egyszerre több ellenséget támadhat",Tháp tấn công có thể tấn công nhiều kẻ thù cùng một lúc
AREA_TOWER_SPECIAL,群体攻击最多攻击10个目标,Area attack up to 10 targets,區域攻擊多達10個目標,区域攻击多达十个标的,方攻至10。,地域攻撃 最大 10 ターゲット,지역 공격 최대 10개의 목표,Ataque de área hasta 10 objetivos,Attaque de zone jusqu'à 10 cibles,การโจมตีพื้นที่สูงสุด 10 เป้าหมาย,هجوم منطقي يصل إلى 10 أهداف,Районные атаки до 10 целей,Ataque de área até 10 alvos,Angriff auf bis zu 10 Ziele,Attacco in area fino a 10 obiettivi,Επιθέσεις σε περιοχή έως και 10 στόχους,Area aanval tot 10 doelen,Atak na obszar do 10 celów,Атака до 10 цели,Rünnakud kuni 10 sihtmärki,Områdeangreb op til 10 mål,Alue hyökkäys jopa 10 kohdetta,Útok až na 10 cílů,Atac în zonă până la 10 ţinte,Območni napad do 10 tarč,Område attack upp till 10 mål,Területi támadás akár 10 célpont,Khu vực tấn công lên đến 10 mục tiêu
BIG_AREA_TOWER,大范围塔,Big Area Tower,大面積塔樓,大积墖楼,释大业楼。,ビッグエリアタワー,큰 지역 타워,Torre de área grande,Tour de grande zone,หอคอยพื้นที่ใหญ่,برج منطقة كبيرة,Башня большой площади,Torre Grande Área,Großer Area Tower,Torre grande area,Πύργος μεγάλης περιοχής,Groot gebied toren,Wieża wielkiego obszaru,Голямата кула,Suur piirkonna torn,Stort Tårn,Suuren alueen torni,Velká věž,Turnul Marii Zoni,Stolp velikega območja,Stora Area Tower,Nagy területi torony,Tháp khu vực lớn
BIG_AREA_TOWER_DESC,拥有超大攻击范围的防御塔,Defense tower with super large attack range,具有超大攻擊範圍的防禦塔,具有超大攻击范围嘅防御塔,又有超大讦千寻塔。,超大型攻撃範囲の防御塔,슈퍼 큰 공격 범위를 가진 방어 타워,Torre de defensa con alcance de ataque súper grande,Tour de défense avec super grande portée d'attaque,หอคอป้องกันที่มีช่วงโจมตีขนาดใหญ่,برج الدفاع مع نطاق هجوم كبير جدا,Башня обороны с супер большим диапазоном атаки,Torre de defesa com alcance de ataque super grande,Verteidigungsturm mit super großem Angriffsbereich,Torre di difesa con raggio di attacco super grande,Πύργος άμυνας με υπερ μεγάλη εμβέλεια επίθεσης,Verdedigingstoren met super groot aanvalsbereik,Wieża obronna z super dużym zasięgiem ataku,Отбранителна кула с супер голям атачен обхват,Kaitsetorn super suurte rünnakute ulatusega,Forsvarstårn med super stor angreb rækkevidde,"Puolustustorni, jossa on erittäin suuri hyökkäysalue",Obranná věž s super velkým útočným dosahem,Turn de apărare cu o gamă de atac super mare,Obrambni stolp z zelo velikim dosegom napada,Försvarsturn med super stort angreppsområde,Védelmi torony szuper nagy támadási távolsággal,Tháp phòng thủ với phạm vi tấn công siêu lớn
BIG_AREA_TOWER_SPECIAL,超大攻击范围,Super large attack range,超大攻擊範圍,超大攻击范围,超大击其所部，,超大きな攻撃範囲,슈퍼 큰 공격 범위,Rango de ataque súper grande,Super grande portée d'attaque,ช่วงโจมตีขนาดใหญ่ซุปเปอร์,نطاق هجوم كبير جداً,Супер большой диапазон атаки,Super grande alcance de ataque,Super große Angriffsbereich,Super grande raggio di attacco,Σούπερ μεγάλη εμβέλεια επίθεσης,Super groot aanvalsbereik,Super duży zasięg ataku,Супер голям обхват на атака,Super suur rünnakuvahemik,Super stor angreb rækkevidde,Super suuri hyökkäysalue,Super velký dosah útoku,Gamă de atac super mare,Super velik obseg napada,Super stort angreppsområde,Szuper nagy támadási tartomány,Phạm vi tấn công siêu lớn
FAST_LOW_DAMAGE_TOWER,超快速伤害塔,Fast Low Damage Tower,快速低傷害塔,赶低伤害塔,亟损塔。,高速低ダメージタワー,빠른 낮은 손상 타워,Torre rápida de bajo daño,Tour rapide à faible dégât,หอความเสียหายต่ำอย่างรวดเร็ว,برج الضرر السريع المنخفض,Быстрая башня с низким уроном,Torre rápida de baixo dano,Schneller Turm mit niedrigem Schaden,Torre a basso danno veloce,Πύργος γρήγορης χαμηλής ζημίας,Snel lage schade toren,Szybka wieża o niskim uszkodzeniu,Бърза кула с ниски щети,Kiire madala kahju torn,Hurtig lav skade tårn,Nopea alhainen vahinko torni,Rychlá věž s nízkým poškozením,Turnul rapid cu daune scăzute,Stolp za hitro nizko škodo,Snabb låg skada Tower,"Gyors, alacsony károsodási torony",Tháp thiệt hại thấp nhanh
FAST_LOW_DAMAGE_TOWER_DESC,拥有急速的射击速度和略低伤害的防御塔 造价高昂,Defense tower with rapid fire rate and low damage expensive cost,具有快速射速和低傷害的防禦塔，成本高昂,具有赶射速同低伤害嘅防御塔，为皮高昂,亟射远下伤塔，成本夷。,迅速な火災率と低損害の高価なコストを持つ防衛塔,빠른 화재 속도와 낮은 손상 비용 높은 방어 타워,Torre de defensa con velocidad de incendio rápida y bajo costo costoso de daño,Tour de défense avec taux d'incendie rapide et faible coût coûteux de dégâts,หอคอป้องกันที่มีอัตราไฟที่รวดเร็วและความเสียหายต่ำค่าใช้จ่ายแพง,برج الدفاع مع معدل حريق سريع وتكلفة أضرار منخفضة مكلفة,Башня обороны с быстрой скоростью огня и низким ущербом дорогая стоимость,Torre de defesa com taxa de fogo rápida e baixo custo caro de danos,Verteidigungsturm mit schneller Brandrate und niedrigen Schäden teure Kosten,Torre di difesa con rapido tasso di incendio e basso costo costoso dei danni,Πύργος άμυνας με γρήγορο ρυθμό πυρκαγιάς και χαμηλή ζημιά ακριβό κόστος,Verdedigingstoren met snelle brandsnelheid en lage schade dure kosten,Wieża obronna z szybkim wskaźnikiem pożaru i niskimi kosztami szkody,Отбранителна кула с бърза скорост на огън и ниски щети скъпи разходи,Kaitsetorn kiire tulekahju kiirusega ja madala kahju kallis kulu,Forsvarstårn med hurtig brandhastighed og lave skader dyre omkostninger,Puolustustorni nopealla palonopeudella ja alhaisella vahingolla kalliilla kustannuksilla,Obranná věž s rychlou rychlostí požáru a nízkými škodami drahé náklady,Turn de apărare cu rată rapidă de incendiu și cost scump de daune scăzute,Obrambni stolp s hitro stopnjo požara in nizkimi škodljivimi dragimi stroški,Försvarsturn med snabb brandhastighet och låg skada dyr kostnad,Védelmi torony gyors tűz sebessége és alacsony kár drága költség,Tháp phòng thủ với tỷ lệ cháy nhanh và thiệt hại thấp chi phí đắt tiền
FAST_LOW_DAMAGE_TOWER_SPECIAL,超快攻击速度 低伤害 高造价,Super fast attack speed low damage high cost,超快攻擊速度低傷害高成本,超快攻击速度低伤害高为皮,超急攻之，伤其本。,超高速攻撃速度低ダメージ高コスト,슈퍼 빠른 공격 속도 낮은 손상 높은 비용,Velocidad de ataque súper rápida bajo daño alto costo,Vitesse d'attaque super rapide faible dégâts coût élevé,ความเร็วในการโจมตีที่รวดเร็วสุดความเสียหายต่ำค่าใช้จ่ายสูง,سرعة هجوم فائقة السرعة الضرر المنخفض التكلفة العالية,Супер быстрая скорость атаки низкий урон высокая стоимость,Velocidade de ataque super rápida baixo dano alto custo,Super schnelle Angriffsgeschwindigkeit niedriger Schaden hohe Kosten,Velocità di attacco super veloce basso danno alto costo,Σούπερ γρήγορη ταχύτητα επίθεσης χαμηλή ζημιά υψηλό κόστος,Super snelle aanvalsnelheid lage schade hoge kosten,Super szybka prędkość ataku niskie szkody wysoki koszt,Супер бърза скорост на атака ниска щета висока цена,Super kiire rünnaku kiirus madal kahju kõrge kulu,Super hurtig angreb hastighed lav skade høje omkostninger,Super nopea hyökkäys nopeus alhainen vahinko korkea kustannus,Super rychlá rychlost útoku nízké poškození vysoké náklady,Viteza de atac super rapidă daune reduse cost ridicat,Super hitra hitrost napada nizka škoda visok strošek,Super snabb attack hastighet låg skada hög kostnad,Szuper gyors támadási sebesség alacsony kár magas költség,Tốc độ tấn công siêu nhanh thiệt hại thấp chi phí cao
DAMAGE,伤害,Damage,損壞,损坏,坏,損害,손상,Daños,Dégâts,ความเสียหาย,الضرر,Ущерб,Danos,Schäden,Danni,Ζημιά,Schade,Szkody,Ущетения,Kahju,Skader,Vahinot,Poškození,daune,Škoda,Skador,Károsodás,Hư hại
FIRE_RATE,射速,Fire Rate,火灾率,火烛率,火率火灾,火災率,화재 비율,Tasa de incendio,Taux d'incendie,อัตราไฟ,معدل الحريق,Скорость пожара,Taxa de fogo,Feuerrate,Tasso di fuoco,Ποσοστό πυρκαγιάς,Brandsnelheid,Wskaźnik pożaru,Скорост на пожар,Tulekahju kiirus,Brandhastighed,Palonopeus,Rychlost požáru,Rata incendiului,Hitrost požara,Brandhastighet,Tűz arány,Tỷ lệ cháy
SECOND,秒,Second,第二,第二，,其第二也,2番目,두 번째,Segundo,Deuxième,ที่สอง,ثانياً,Второй,Segundo,Zweites,Secondo,Δεύτερο,Tweede,Drugi,Втори,Teine,Anden,Toinen,Druhý,Al doilea,Drugi,Andra,Második,Thứ hai
COST,造价,Cost,費用,使费,其费,コスト,비용,Costo,Coût,ค่าใช้จ่าย,التكلفة,Стоимость,Custo,Kosten,Costo,Κόστος,Kosten,Koszt,Разходите,kulud,Omkostninger,Kustannukset,Náklady,Costul,Stroški,Kostnad,Költség,Chi phí
RANGE,射程,Range,範圍,范围,所司,範囲,범위,Rango,plage,ช่วง,نطاق,Диапазон,Intervalo,Bereich,Gamma,Σειρά,bereik,Zakres,Диапазон,Vahemik,Område,Alue,Rozsah,Intervalul,Razpon,Område,Távolság,Phạm vi
SPECIAL,特殊,Special,特別的,特别嘅,尤者,スペシャル,특별한,Especiales,Spécial,พิเศษ,خاصة,Специальные,Especial,Speziell,Speciale,Ειδική,Speciale,Specjalne,Специални,Eriline,Særlige,Erityinen,Speciální,Speciale,Posebno,Särskilda,Különleges,Đặc biệt
VICTORY,胜利！,Victory!,勝利！,胜利！,胜！,勝利！,승리!, ¡La victoria!,La victoire !,ชัยชนะ!,النصر!,Победа!,Vitória!,Sieg!,Vittoria!,Νίκη!,Overwinning!,Zwycięstwo!,Победа!,Võit!,Sejr!,Voitto!,Vítězství!,Victorie!,Zmaga!,Seger!,Győzelem!,Chiến thắng!
DEFEAT,失败！,Defeat!,失敗！,失败！,败！,敗北！,패배!, ¡Derrota!,Vaincue !,แพ้ชนะ!,الهزيمة!,Поражение!,Derrota!,Niederlage!,Scofitta!,Νίκη!,Verslag!,Pokonać!,Победа!,Võit!,Nederlag!,Voitto!,Poražit!,Înfrângere!,Poraz!,Besegra!,Legyőzés!,Đánh bại!
CONFIRM,确定,Confirm,確認,确认,格言至言，,確認,확인,Confirmar,Confirmer,ยืนยัน,تأكيد,Подтвердить,Confirmação,Bestätigen,Conferma,Επιβεβαίωση,Bevestig,Potwierdź,Потвърди,Kinnita,Bekræft,Vahvista,Potvrdit,Confirmă,Potrdi,Bekräfta,Megerősítés,Xác nhận
GAMEPLAY,游戏玩法,Gameplay,遊戲玩法,游戏玩法,戏狎法古。,ゲームプレイ,게임 플레이,Juego,Jeux,การเล่นเกม,لعبة,Геймплей,Jogos,Spiele,Giochi,Παιχνίδι,De gameplay,Rozgrywka,Геймплей,Mängumäng,Spillet,Pelaaminen,hrací,Jocuri,Igra,Spelning,Játék,Trò chơi
CONTROLS,操作方式,Controls,管理,打理,治,コントロール,제어,Controles,Contrôles,การควบคุม,التحكم,Управление,Controles,Steuerungen,Controlli,Ελέγχους,Controles,Kontrole,Контроли,Kontrollid,Kontrolfunktioner,Ohjaus,Ovládací prvky,Controale,Nadzor,Kontroller,Ellenőrzők,Điều khiển
TOWER_DETAILS,防御塔详情,Tower Details,鐵塔詳圖,铁塔详图,浮图具图。,タワーの詳細,타워 세부사항,Detalles de la Torre,Détails de la tour,รายละเอียดทาวเวอร์,تفاصيل البرج,Детали башни,Detalhes da Torre,Details zum Turm,Dettagli della torre,Λεπτομέρειες Πύργου,Details van de toren,Szczegóły wieży,Подробности за кулата,Torni üksikasjad,Tårn detaljer,Tornin yksityiskohdat,Podrobnosti věže,Detalii turn,Podrobnosti o stolpu,Tornet Detaljer,Torony részletei,Chi tiết tháp
ABOUT_GAME,关于游戏,About Game,關於遊戲,关於游戏,游戏游戏,ゲームについて,게임에 대해,Acerca del juego,À propos du jeu,เกี่ยวกับเกม,حول اللعبة,О игре,Sobre o jogo,Über das Spiel,A proposito del gioco,Σχετικά με το παιχνίδι,Over het spel,O grze,За играта,Mängu kohta,Om spillet,Tietoja pelistä,O hře,Despre joc,O igri,Om spelet,A játékról,Về Game
AUTHOR,本项目作者:depend(依赖),Project Author: depend,項目作者：依,项目作者：依,项目作者，依文约：,プロジェクトの著者: depend,프로젝트 저자: depend,Autor del proyecto: depend,Auteur du projet: depend,ผู้เขียนโครงการ: depend,مؤلف المشروع: depend,Автор проекта: depend,Autor do projeto: depend,Autor des Projekts: depend,Autore del progetto: depend,Συγγραφέας έργου: depend,Projectauteur: depend,Autor projektu: depend,Автор на проекта: depend,Projekti autor: sõltub,Projektforfatter: afhænger,Hankkeen tekijä: depend,Autor projektu: depend,Autorul proiectului: depend,Avtor projekta: depend,Projektförfattare: depend,Projekt szerzője: depend,Tác giả dự án: depend
GITHUB_PAGE,GitHub主页,GitHub Page,GitHub頁面,GitHub页面,GGG醿々于傅末。,GitHub ページ,GitHub 페이지,Página de GitHub,Page GitHub,หน้า GitHub,صفحة GitHub,Страница GitHub,Página do GitHub,GitHub Seite,Pagina di GitHub,Σελίδα GitHub,GitHub-pagina,Strona GitHub,Страница на GitHub,GitHubi lehekülg,GitHub-siden,GitHub-sivu,Stránka GitHub,Pagina GitHub,Stran GitHub,GitHub-sidan,GitHub oldal,Trang GitHub
BILIBILI_ADDRESS,Bilibili地址,Bilibili Address,Bilibili地址,Bilibili地址,？,ビリビリ 住所,Bilibili 주소,Bilibili Dirección,Bilibili Adresse,ที่อยู่ Bilibili,عنوان بيليبيلي,Билибили Адрес,Endereço Bilibili,Adresse Bilibili,Bilibili Address,Διεύθυνση Bilibili,Bilibili Adres,Bilibili Adres,Адрес Bilibili,Bilibili aadress,Bilibili Adresse,Bilibilin osoite,Bilibili Adresa,Adresa Bilibili,Naslov Bilibili,Bilibili Adress,Bilibili címe,Địa chỉ Bilibili
DOUYIN_ID,抖音号:87034208133,Douyin ID: 87034208133,自定義ID:87034208133,自定义ID:87034208133,定义师李斯绪白70滥腊。,カスタムID：87034208133,사용자 지정 ID: 87034208133,Id personalizado: 87034208133,ID personnalisé: 87034208133,รหัสที่กำหนดเอง: 87034208133,معرف مخصص : 87034208133,Пользовательский идентификатор: 87034208133,ID personalizado: 87034208133,Benutzerdefinierte ID: 87034208133,ID personalizzato: 87034208133,Προσαρμοσμένο Κωδικό: 87034208133,Aangepaste ID: 87034208133,ID niestandardowy: 87034208133,Персонален идентификатор: 87034208133,Kohandatud ID: 87034208133,Brugerdefineret ID: 87034208133,Mukautettu ID: 87034208133,Vlastní ID: 87034208133,ID personalizat: 87034208133,Carinska številka: 87034208133,Anpassad ID: 87034208133,Egyéni azonosító: 87034208133,ID tùy chỉnh: 87034208133
EMAIL,邮箱,Email,電子郵件,电子邮件,电子邮人,メール,이메일,Correo electrónico,Courriel,อีเมล์,البريد الإلكتروني,Электронная почта,E-mail,E-Mail-Adresse,Posta elettronica,Ηλεκτρονικό ταχυδρομείο,E-mailadres,Poczta e-mail,Електронна поща,E-posti aadress,E-mailadresse,Sähköposti,E-mailová adresa,E-mail adresă,E-pošta,E-post,E-mail cím,Email
